"Temperatura","pH","Oxígeno disuelto","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno total Kjeldahl","DBO","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Sólidos totales","Nitrógeno total","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno amoniacal","Sulfatos","SAAM","Sulfuros","Temp. ambiente","Acidez total","Dureza de calcio","fecha","año","mes","est"
21,6.8,0.29,0.1,0.03,49.45,303.6,584.963,34.28,4.19,175,1064,1,4.5114,0.0128,0.101,0.00304,0.05,0.05,1.412,0.194,0.0005,0.129,0.0086,190.2,0.182,46000000,46000000,1239,49.48,2502,210,573.85,139.43,281.79,0.65,32.03,135.89,3.14,36.76,19,57.71,125.69,2022-04-01,"2022","4","AA-01"
24,7.7,1.07,0.1,0.093,30.41,44.25,129.354,16.16,4.38,67.5,875.5,0.3,0.7729,0.0151,0.061,0.00065,0.05,0.05,0.411,0.149,0.0005,0.1,0.0064,166.1,0.083,15000000,15000000,943,30.5,1534,45,547.9,109.63,169.19,0.82,21.22,118.15,1.51,1.82,26,18.41,124.11,2022-04-01,"2022","4","AA-02"
24,8.4,1.12,0.1,0.013,4.54,11.76,36.023,7.55,1.18,50,609,0.1,3.2368,0.0233,0.142,0.0005,0.05,0.05,1.955,0.072,0.0005,0.1,0.0028,115.7,0.02,460000,460000,659,4.55,922,35,315.87,62.43,191.07,0.79,1.62,91.83,0.28,0.38,28,2,76.44,2022-04-01,"2022","4","RZ-01"
25,7.9,4.01,0.15,0.01,2.62,4.44,37.516,43.67,0.56,51,639,0.1,3.99,0.0217,0.157,0.0005,0.05,0.05,2.382,0.066,0.0005,0.1,0.0087,112.9,0.02,240000,240000,690,2.77,962,45,332.66,66.78,214.66,1.71,0.93,149.86,0.23,0.1,29,2,113.03,2022-05-19,"2022","5","RS-01"
22,6.9,2.44,0.19,0.01,2.85,3.81,26.735,6.43,0.84,7,679,0.1,0.054,0.0189,0.148,0.0005,0.05,0.05,0.074,0.158,0.0005,0.1,0.0047,122.8,0.02,15000,15000,679,3.04,1040,1.55,357.07,76.25,225.8,1.63,0.87,83.66,0.31,5.08,29,20.78,121.39,2022-05-19,"2022","5","RS-02"
21,7.3,4.81,0.27,0.01,4.54,5.1,43.235,6.03,1.12,32,753,0.5,0.74,0.0025,0.129,0.0005,0.05,0.05,0.446,0.124,0.0005,0.1,0.0069,145.8,0.02,46000,46000,785,4.81,1158,5.1,477.48,86.3,233.16,1.28,1.4,127.7,0.28,0.1,29,21.37,132.93,2022-05-06,"2022","5","RS-03"
24,7.5,0.49,0.2,0.01,25.16,23.64,81.229,5.91,4.48,12,841,0.1,0.209,0.0104,0.075,0.00051,0.05,0.05,0.133,0.165,0.0005,0.1,0.009,160.9,0.022,4600000,4600000,853,25.36,1429,15,525.39,95.87,271.15,1.14,19.33,123.05,1.47,17.05,33,27.38,131.14,2022-05-06,"2022","5","RS-04"
23,7.8,4.07,0.23,0.404,32.21,54,123.43,6.88,5.55,52,846,0.1,0.865,0.0096,0.058,0.00552,0.05,0.05,0.458,0.127,0.00064,0.1,0.0162,167.2,0.092,110000000,110000000,898,32.84,1709,20,420.31,126.99,220.43,1.33,21.37,156.8,2.24,0.1,35,18.71,122.38,2022-05-04,"2022","5","RS-07"
24,7.9,4.7,0.19,0.079,36.22,56.88,126.421,8.8,3.92,83.12,800.88,0.8,1.915,0.0158,0.061,0.0144,0.05,0.05,0.827,0.237,0.0005,0.1,0.0146,158.2,0.088,15000000,15000000,884,36.49,1671,30,415.83,117.64,215.25,2.45,36.81,137.85,1.31,0.1,39,18.12,113.63,2022-05-04,"2022","5","RS-08"
23,7.8,6.26,0.28,0.162,18.31,4.74,31.468,5.14,3.31,10,591,0.1,0.101,0.0025,0.062,0.00059,0.05,0.05,0.204,0.402,0.0005,0.1,0.0025,135.8,0.02,43,23,701,18.75,1238,4.6,384.46,92.66,214.26,1.81,15.01,115.65,0.5,0.1,27,10.39,132.93,2022-05-03,"2022","5","RS-09"
27,8.7,7.83,1.92,0.328,2.97,3.38,19.505,5.14,0.99,13,293,0.1,0.288,0.018,0.0402,0.0005,0.05,0.05,0.089,0.05,0.0005,0.1,0.0025,50,0.02,4,4,306,5.22,493,5.5,154.03,32.01,116.38,1,0.73,53.74,0.32,0.1,33,2,77.21,2022-05-03,"2022","5","RS-10"
24,7.1,0.08,0.15,0.015,50.43,249,573.561,38.07,3.49,198,1055,1,6.52,0.0025,0.11,0.00252,0.05,0.05,1.311,0.189,0.0005,0.114,0.0217,209.5,0.295,240000,240000,1253,50.59,1766,180,612.54,149.1,255.84,1.66,38.38,227.27,2.67,25.06,21,42.45,125.37,2022-05-19,"2022","5","AA-01"
28,7.6,0.47,0.11,0.01,34.77,12.21,271.263,7.75,4.14,122.81,904.19,0.6,1.34,0.0148,0.071,0.00107,0.05,0.05,0.977,0.16,0.0005,0.1,0.0261,177.5,0.417,46000000,46000000,1027,34.88,1598,85,544.31,125.98,288.46,1.26,23.7,135.8,0.2,0.56,32,27.19,127.36,2022-05-06,"2022","5","AA-02"
25,7.6,1.33,0.16,0.01,3.32,7.26,48.592,8.13,0.94,69,645,0.3,3.9,0.0206,0.156,0.0005,0.05,0.05,2.345,0.086,0.0005,0.1,0.0096,115.3,0.02,24000000,24000000,714,3.48,975,45,334.16,66.54,214.46,1.56,1.4,161.14,0.26,0.13,27,11.82,120.39,2022-05-19,"2022","5","RZ-01"
27,8.2,2.09,0.18,0.011,3.34,4.3,49.315,7.19,0.75,41,688,0.1,3.58,0.029,0.153,0.0005,0.05,0.05,2.054,0.093,0.0005,0.1,0.0101,115.9,0.021,2400000,2400000,729,3.53,968,40,343.96,67.75,221.22,1.1,1.61,64.22,0.44,0.51,33,6.73,123.38,2022-06-06,"2022","6","RS-01"
23,7.4,2.98,0.21,0.01,3.34,2.68,39.521,8.23,1.06,8,704,0.1,0.0448,0.0241,0.145,0.0005,0.05,0.05,0.075,0.144,0.0005,0.1,0.0065,126.2,0.022,24000,9300,722,3.55,1052,5,375.87,77.71,222.81,0.95,1.56,59.4,0.4,7.65,32,17.42,121.99,2022-06-06,"2022","6","RS-02"
22,7,1,0.18,0.01,4.5,30.9,59.602,10.87,1.77,69,625,1.9,7.35,0.0191,0.15,0.0005,0.05,0.05,3.511,0.243,0.0005,0.1,0.025,113.4,0.02,46000,46000,692,4.68,965,28,313.06,93.93,195.3,0.93,1.27,58.94,0.53,1.43,26,23.26,101.77,2022-06-21,"2022","6","RS-03"
23,7.4,0.8,0.1,0.01,19.44,69,148.752,5.72,4.01,30,704,0.2,1.06,0.0109,0.074,0.0005,0.05,0.05,0.539,0.205,0.0005,0.1,0.0194,125.6,0.05,11000000,11000000,734,19.44,1148,24,417.74,81.94,213.56,0.89,14.65,113.01,1.64,5.62,26,26.73,115.63,2022-06-21,"2022","6","RS-04"
22,7.8,6.52,2.98,1.045,6.17,18.84,54.639,9.67,1.25,73.24,266.76,0.5,2.69,0.0077,0.0356,0.00236,0.05,0.05,1.454,0.142,0.0005,0.1,0.0052,31.1,0.059,460000000,460000000,340,10.19,415,40,117.31,26.37,96.68,0.6,9.52,14.31,1,0.1,27,10.89,70.84,2022-06-07,"2022","6","RS-07"
25,7.6,4.39,0.28,0.39,15.98,47.4,100.226,11.28,1.72,161.82,366.18,1.3,4.66,0.0138,0.059,0.00639,0.05,0.05,2.818,0.233,0.0005,0.1,0.0101,54.1,0.172,46000000,46000000,528,16.65,573,65,173.25,45.6,133.09,0.77,8.59,41.85,1.41,0.46,30,11.78,52.34,2022-06-07,"2022","6","RS-08"
27,7.2,3.3,0.25,0.056,25.78,7.68,55.56,8.18,3.01,70,798,0.1,3.23,0.0207,0.11,0.00318,0.05,0.05,2.092,0.77,0.0005,0.1,0.0074,143,0.025,43000,43000,868,26.09,1341,45,437.68,102.96,244.3,1.21,19.38,90.13,0.36,0.1,31,10.89,152.23,2022-06-06,"2022","6","RS-09"
30,8.2,8.15,4.35,3.355,1.27,5.83,34.821,5.67,1.76,9,484,0.1,0.11,0.0234,0.0442,0.0005,0.05,0.05,0.083,0.05,0.0005,0.1,0.0032,82.4,0.029,4,4,493,8.97,717,6.4,209.48,59.48,157.96,0.92,0.92,40.03,0.37,0.1,37,2,97.91,2022-06-06,"2022","6","RS-10"
24,7.7,1.44,0.23,0.01,25.32,51.48,381.84,18.34,3.54,125.33,817.67,1,3.72,0.0207,0.117,0.01242,0.05,0.05,1.78,0.244,0.0005,0.1,0.0148,139.1,0.139,24000000,24000000,943,25.55,1250,65,461.11,96.21,234.55,1.07,16.96,74.28,2.33,2.94,24,26.04,123.78,2022-06-06,"2022","6","AA-01"
25,7.1,0.8,0.13,0.105,18.23,38.64,104.433,10.93,3.99,73,709,1.3,1.85,0.0046,0.057,0.0005,0.05,0.05,0.796,0.203,0.0005,0.1,0.0263,128.6,0.088,11000000,11000000,782,18.46,1145,34,387.83,87.13,215.15,0.87,13.38,113.13,1.58,2.35,32,26.23,98.6,2022-06-21,"2022","6","AA-02"
27,8.1,3.33,0.21,0.01,7.32,19.08,85.502,14.41,1.56,68,674,0.1,2.35,0.0248,0.133,0.00054,0.05,0.05,1.372,0.116,0.0005,0.1,0.0102,121.8,0.031,4600000,4600000,742,7.53,981,31,365.9,65.86,203.91,1.04,2.94,59.16,0.67,0.44,30,12.97,113.43,2022-06-06,"2022","6","RZ-01"
23,6.7,0.77,0.21,0.034,8.74,12.12,84.012,6.03,2.95,24,432,0.1,0.89,0.0025,0.06,0.0005,0.05,0.05,0.928,0.367,0.0005,0.1,0.0043,66.9,0.269,4600000,2400000,456,8.98,694,13,247.3,46.62,146.87,0.57,5.24,10,0.8,3.1,24,35.64,86.33,2022-07-05,"2022","7","RS-01"
22,6.8,1.29,0.17,0.01,5.94,6.59,53.931,6.69,2.69,7,624,0.1,0.121,0.0045,0.143,0.0005,0.05,0.05,0.097,0.241,0.0005,0.1,0.0044,108.3,0.232,460000,460000,624,6.12,979,3.7,348.95,88.45,186.97,0.87,3.78,10,0.42,5.3,27,27.72,116.42,2022-07-05,"2022","7","RS-02"
24,7.2,3.43,0.21,0.013,19.57,5.7,51.736,8.43,1.95,38,631,0.6,1.41,0.0075,0.128,0.0005,0.05,0.05,0.733,0.184,0.0005,0.1,0.0066,116.9,0.02,46000,24000,669,19.79,980,15,344.96,81.01,183.59,0.96,13.98,72.65,0.47,0.93,24,16.83,108.9,2022-07-05,"2022","7","RS-03"
23,7.2,1.89,0.11,0.012,17.06,36.36,88.746,5.14,3.29,45,546,0.1,1.66,0.0025,0.056,0.0005,0.05,0.05,0.819,0.199,0.0005,0.1,0.008,98.1,0.036,46000000,24000000,591,17.18,925,23,356.52,61.44,175.26,0.78,13.74,81.38,1.7,4.02,24,36.93,95.04,2022-07-05,"2022","7","RS-04"
24,7.2,6.32,0.92,1.288,7.69,23.52,64.477,27.4,1.7,88,224,0.9,3.02,0.0025,0.0362,0.00141,0.05,0.05,1.612,0.123,0.0005,0.1,0.0041,29.2,0.062,4600000,4600000,312,9.9,369,39,105.83,20.01,79.79,0.55,5.18,44.23,0.74,0.1,28,16.33,55.64,2022-07-04,"2022","7","RS-07"
26,7,5.68,0.92,1.384,6.46,23.88,44.643,24.01,1.35,53,187,0.5,1.62,0.0025,0.0252,0.00128,0.05,0.05,0.836,0.092,0.0005,0.1,0.0025,23,0.037,4600000,4600000,240,8.76,319,21,93.85,17.95,66.49,0.61,4.77,34.48,0.89,0.1,34,16.24,52.47,2022-07-04,"2022","7","RS-08"
27,7.2,6.73,0.27,0.333,13.57,12.27,38.103,20.35,1.9,128.75,467.25,0.1,7.06,0.0092,0.082,0.00213,0.05,0.05,3.533,0.436,0.0005,0.1,0.0097,85.3,0.02,46000,46000,596,14.17,778,80,244.73,57.53,146.68,0.94,11.41,87.79,0.44,0.47,27,19.6,101.97,2022-07-04,"2022","7","RS-09"
33,8.5,8.72,0.97,4.907,2.56,7.02,30.527,13.84,1.87,18,486,0.1,0.625,0.0133,0.055,0.0005,0.05,0.05,0.269,0.05,0.0005,0.1,0.0056,99.7,0.02,4600,4600,504,8.44,786,7,235.62,66.92,174.66,1.34,1.05,85.11,0.43,0.1,35,2,115.83,2022-07-04,"2022","7","RS-10"
22,7,1.14,0.18,0.01,11.94,18.84,65.342,6.68,1.98,186,309,0.5,8.86,0.0025,0.095,0.0005,0.05,0.05,3.823,0.236,0.0005,0.1,0.0077,46.7,0.339,46000000,24000000,495,12.12,513,95,170.28,32.58,105.99,0.61,7.22,65.27,1.19,1.72,22,24.16,59.4,2022-07-05,"2022","7","AA-01"
25,7.4,1.39,0.17,0.01,19.1,30,144.06,10.92,4.16,148,543,1.5,3.36,0.0048,0.066,0.00079,0.062,0.05,1.579,0.221,0.0005,0.1,0.0205,93.6,0.108,46000000,46000000,691,19.27,907,65,325.52,58.41,183.4,0.87,12.93,97.39,1.14,6.86,32,45.54,96.43,2022-07-05,"2022","7","AA-02"
22,6.6,0.53,0.2,0.019,7.92,33.9,75.347,16.33,2.64,18,415,0.1,0.74,0.0025,0.059,0.0005,0.05,0.05,0.932,0.399,0.0005,0.1,0.0041,63.3,0.251,4600000,4600000,433,8.14,651,13,246.71,46.33,144.89,0.57,4.6,10,0.8,4.38,23,40,85.14,2022-07-05,"2022","7","RZ-01"
20,7.2,4.8,0.24,0.464,4.48,7.32,50.832,10.51,1.13,110,377,0.1,9.7,0.0025,0.14,0.0005,0.05,0.05,6.164,0.379,0.0005,0.1,0.0058,45.2,0.023,930000,430000,487,5.18,508,110,161.46,33.94,120.72,0.43,3.49,67.88,0.55,0.1,20,24.16,81.9,2022-08-02,"2022","8","RS-01"
20,7.1,4.6,0.23,0.062,3.09,8.28,39.95,5.14,0.98,66,352,0.1,8.8,0.0025,0.114,0.0005,0.05,0.05,5.214,0.351,0.0005,0.1,0.0041,31.6,0.021,46000,46000,418,3.38,378,100,131.24,23.43,103.36,0.6,2.27,24.19,0.47,1.21,22,25.98,58.7,2022-08-02,"2022","8","RS-02"
22,6.6,1.99,0.52,0.344,2.97,15.48,31.997,5.14,0.93,70,376,0.1,13.5,0.0025,0.119,0.0005,0.05,0.05,7.751,0.17,0.0005,0.1,0.0064,35.9,0.056,93000,93000,446,3.83,541,150,121.72,25.07,200.54,0.72,1.51,21.08,0.47,0.1,22,17.76,57.71,2022-08-02,"2022","8","RS-03"
21,6.8,2.06,0.45,0.72,5.18,7.02,43.483,15.15,1.2,104,385,0.1,13.25,0.0025,0.105,0.03887,0.05,0.05,7.406,0.2,0.0005,0.1,0.007,41.8,0.063,430000,430000,489,6.35,452,110,150.07,29.07,97.77,0.48,3.03,62.04,0.69,2.79,23,23.55,62.09,2022-08-02,"2022","8","RS-04"
23,7.9,7.42,0.84,1.825,4.68,16.68,67.341,6.1,1.31,504.35,318.65,0.6,27.6,0.0025,0.159,0.00618,0.05,0.05,13.71,0.425,0.0005,0.1,0.0144,34.1,0.077,11000000,4600000,823,7.34,398,290,139.93,22.95,118.73,0.97,2.46,50.56,0.44,0.1,22,12.08,66.07,2022-08-03,"2022","8","RS-07"
23,7.8,6.96,0.98,1.85,4.68,17.28,68.051,10.7,1.44,270.97,704.03,0.7,28.6,0.0025,0.165,0.00666,0.05,0.05,15.006,0.501,0.0005,0.1,0.016,34.1,0.102,4600000,4600000,975,7.51,386,360,134.45,21.89,106.15,0.99,1.54,23.29,0.47,0.1,23,10.96,63.88,2022-08-03,"2022","8","RS-08"
23,6.8,5.16,0.98,1.17,2.46,3.33,27.961,5.14,0.63,51,292,0.1,10,0.0025,0.053,0.00064,0.05,0.05,3.919,0.085,0.0005,0.1,0.0034,27.2,0.029,110000,46000,343,4.61,319,90,113.02,24.93,81.81,0.64,1.37,11.02,0.52,0.1,27,11.77,52.13,2022-08-03,"2022","8","RS-09"
28,7.2,5.03,0.96,1.41,2.34,6.03,24.942,5.14,0.69,7,417,0.1,0.785,0.0025,0.054,0.00118,0.05,0.05,0.206,0.05,0.0005,0.1,0.0032,70.9,0.02,1500,1500,417,4.71,623,5.75,183.82,46.57,131.49,0.78,0.51,86.49,0.44,0.1,26,2,83.78,2022-08-03,"2022","8","RS-10"
22,7.3,0.7,0.2,0.021,13.57,53.28,140.08,6.9,2.48,209.09,400.91,1,9.68,0.0025,0.103,0.001,0.05,0.05,4.262,0.416,0.0005,0.1,0.0128,59.7,0.098,110000000,46000000,610,13.79,642,110,214.14,81.72,137.08,0.63,8.56,53.07,1.04,1.11,18,31.36,80.59,2022-08-02,"2022","8","AA-01"
23,6.8,1.22,0.2,0.226,10.25,14.61,65.013,10.54,1.9,43,369,0.1,1.9,0.0025,0.055,0.00063,0.05,0.05,0.859,0.253,0.0005,0.1,0.0078,57.8,0.033,2400000,2400000,412,10.68,614,29,230.8,37.94,131.9,0.65,5.76,69.8,1.15,2.27,24,32.68,86.56,2022-08-02,"2022","8","AA-02"
20,7.3,5.01,0.9,0.573,3.49,7.02,50.783,10.99,1.28,359.52,368.48,0.2,24.75,0.0025,0.156,0.0005,0.05,0.05,19.259,0.343,0.0005,0.1,0.0132,11.2,0.045,93000,43000,728,4.96,269,550,118.82,13.74,88.79,0.37,1.75,10,0.45,0.1,20,18.78,47.76,2022-08-02,"2022","8","RZ-01"
23,7.3,4.04,4.05,0.628,1.57,7.38,29.306,5.14,0.89,272.73,284.27,0.1,21.8,0.0025,0.132,0.0005,0.05,0.05,0.496,0.244,0.0005,0.1,0.0088,10,0.037,46000,46000,557,6.25,193,550,92.53,12.39,70.53,0.48,0.5,10,0.1,0.1,33,10.79,42.16,2022-09-20,"2022","9","RS-01"
24,7.1,2.84,0.13,0.011,3.14,4.17,31.887,5.29,1.43,7,313,0.1,2,0.0025,0.145,0.0005,0.05,0.05,22.655,0.356,0.0005,0.1,0.0033,38.4,0.02,110000,110000,313,3.28,479,4.95,184.07,23.67,135.92,0.43,1.34,10,0.16,1.76,32,19.21,78.6,2022-09-20,"2022","9","RS-02"
23,7.1,2.99,0.1,0.079,3.14,7.29,49.147,14.03,1.87,39,373,0.1,2.54,0.003,0.164,0.0005,0.05,0.05,1.283,0.261,0.0005,0.1,0.0102,63.1,0.02,150000,150000,412,3.22,575,22,209.75,38.71,127.23,0.61,1.63,10,0.2,0.93,30,20.79,76.83,2022-09-28,"2022","9","RS-03"
24,7.5,2.1,0.1,0.014,13.63,19.44,67.692,18.62,3.42,12,557,0.1,2.445,0.0025,0.092,0.004,0.05,0.05,0.268,0.246,0.0005,0.1,0.0137,104.7,0.061,4600000,4600000,569,13.64,955,6.4,352.91,60.22,182.94,0.69,11.36,93.1,1.01,11.36,30,19.3,100.47,2022-09-28,"2022","9","RS-04"
25,7.6,6.7,0.73,1.957,4.19,6.3,37.32,7.9,1.92,44,379,0.4,3.28,0.0048,0.112,0.0005,0.05,0.05,1.549,0.083,0.0005,0.1,0.0048,55.8,0.024,4600000,4600000,423,6.88,647,28,171.14,33.41,119.72,0.94,1.98,58.48,0.35,0.64,31,7.82,74.47,2022-09-15,"2022","9","RS-07"
26,7.6,5.59,0.91,4.07,7.16,7,43.056,10.35,2.83,31,457,0.3,2.38,0.0025,0.152,0.00078,0.05,0.05,0.91,0.097,0.0005,0.1,0.0066,71,0.037,430000,430000,488,12.14,811,18,210.94,49.32,145.4,0.78,3.9,59.11,0.74,0.1,35,7.62,86.29,2022-09-15,"2022","9","RS-08"
25,7.3,4.44,0.99,0.057,2.1,3.78,27.613,13.61,0.91,43,255,0.1,1.935,0.0029,0.119,0.0005,0.05,0.05,3.968,0.085,0.0005,0.1,0.0025,15.9,0.022,1100,1100,298,3.15,286,65,99.6,13.5,81.2,0.69,0.5,10,0.13,1.43,30,2.02,53.19,2022-09-15,"2022","9","RS-09"
32,9.3,10.8,0.2,0.182,2.27,5.47,34.358,12.29,0.6,11,261,0.1,0.895,0.0025,0.073,0.0005,0.05,0.05,0.226,0.5,0.0005,0.1,0.0025,39.1,0.02,4300,4300,272,2.65,397,7.7,135.12,26.18,90.48,0.8,0.5,47.44,0.41,1.41,39,2,63.43,2022-09-15,"2022","9","RS-10"
21,7.5,1.57,0.1,0.01,14.15,48,128.957,9.66,3.05,84.25,486.75,0.5,2.76,0.0025,0.131,0.00055,0.05,0.05,2.024,0.3,0.0005,0.1,0.0143,79.3,0.067,46000000,24000000,571,14.15,754,50,267.06,54.29,155.68,0.74,8.56,60.03,0.59,0.97,24,23.46,84.71,2022-09-20,"2022","9","AA-01"
25,7,1.63,0.1,0.014,21.37,173.4,396.948,25.25,6.64,68.6,727.4,0.3,3.57,0.0025,0.052,0.00092,0.05,0.05,1.264,0.266,0.0005,0.1,0.0217,126.5,0.149,11000000,11000000,796,21.38,1195,40,394.57,80.66,228.97,0.84,16.54,125,0.74,7.76,34,42.87,116.82,2022-09-28,"2022","9","AA-02"
22,7.4,4.23,24.62,0.476,1.34,7.44,47.213,5.28,0.99,507.5,329.5,0.4,45.6,0.0025,0.183,0.0005,0.05,0.05,32.774,0.465,0.0005,0.1,0.0133,10,0.055,15000,15000,837,26.44,187,750,106.56,11.62,70.92,0.5,0.5,10,0.11,0.1,35,11.09,42.75,2022-09-20,"2022","9","RZ-01"
22,7.3,2.09,0.81,1.57,3.83,4.68,30.816,9.81,0.44,8,238,0.1,0.865,0.0025,0.104,0.0005,0.05,0.05,0.804,0.263,0.0005,0.1,0.0084,24,0.068,240000,240000,246,6.21,378,7.7,149.49,21.23,112.66,0.42,1.5,11.38,0.2,0.1,24,19.7,66.86,2022-10-17,"2022","10","RS-01"
22,7.1,3,0.1,0.036,4.25,6.53,25.356,15.34,1.3,7,389,0.1,0.382,0.0029,0.166,0.0005,0.05,0.05,0.316,0.287,0.0005,0.1,0.0091,51,0.083,24000,24000,396,4.29,539,2.9,205.42,42.12,140.18,0.36,2.22,10,0.12,1.33,27,26.67,84.97,2022-10-17,"2022","10","RS-02"
22,7.5,2.9,0.1,0.079,2.94,8.79,42.815,16.54,1.96,31,416,0.1,1.775,0.0042,0.137,0.00162,0.05,0.05,0.776,0.218,0.0005,0.1,0.0067,70.6,0.02,46000,46000,447,3.02,630,12,227.85,45.13,129.8,0.57,1.14,126.76,0.52,0.96,22,17.72,95.94,2022-10-05,"2022","10","RS-03"
22,7.6,1.1,0.1,0.013,17.08,29.1,71.553,21.56,1.94,12,655,0.1,1.18,0.0025,0.087,0.00344,0.05,0.05,0.244,0.266,0.0005,0.1,0.0109,118.2,0.023,4600000,4600000,667,17.09,1096,7.15,403.11,76.27,200.92,0.76,14.2,80.97,1.02,16.82,21,15.84,114.26,2022-10-05,"2022","10","RS-04"
24,7.6,6.37,1.31,3.01,13.42,27.48,62.57,9.19,1.45,21,505,0.1,1.31,0.0025,0.144,0.00223,0.05,0.05,0.401,0.18,0.0005,0.1,0.0084,82.3,0.032,46000000,46000000,526,17.74,772,9.9,234.02,49.95,185.31,0.9,9.65,88.16,0.41,0.74,40,13.76,88.65,2022-10-05,"2022","10","RS-07"
27,7.3,4.67,0.4,0.682,20.37,23.94,55.41,6.89,1.58,22,618,0.1,1.39,0.005,0.102,0.00242,0.05,0.05,0.26,0.155,0.0005,0.1,0.0103,112.4,0.03,460000,460000,640,21.45,1006,7.6,210.24,82.63,171.48,0.88,15.22,103.85,0.24,1.2,36,13.66,103.82,2022-10-05,"2022","10","RS-08"
25,7.2,4.7,0.74,1.291,4.43,4.17,28.871,5.14,1.65,15,348,0.1,1.53,0.0067,0.093,0.00114,0.05,0.05,0.324,0.208,0.0005,0.1,0.0062,51.2,0.02,4600,4600,363,6.46,543,5.3,174.92,34.47,121.5,0.77,3.23,52.38,0.17,0.71,26,18.81,75.45,2022-10-04,"2022","10","RS-09"
31,8,5.15,0.54,0.055,1.08,6.89,31.319,5.14,0.94,53,245,0.1,5.84,0.0084,0.082,0.00108,0.05,0.05,1.701,0.077,0.0005,0.1,0.007,29.6,0.02,1100,460,298,1.67,341,32,115.62,19.43,85.74,0.84,0.5,10,0.12,0.77,36,4.95,57.92,2022-10-04,"2022","10","RS-10"
22,7.5,0.15,0.1,0.01,60.82,138.6,307.266,16.54,3.58,43,756,0.1,0.615,0.0056,0.137,0.00192,0.061,0.05,0.369,0.227,0.00054,0.1,0.0162,131.7,0.104,110000000,46000000,799,60.82,1293,45,454.54,98.33,217.94,0.92,33.67,88,3.21,12.56,20,48.16,107.46,2022-10-17,"2022","10","AA-01"
24,7.7,1.1,0.1,0.037,24.63,47.16,121.058,22.7,1.57,64,751,0.5,1.78,0.0025,0.096,0.00255,0.05,0.05,0.651,0.263,0.0005,0.1,0.0248,136.7,0.072,4600000,4600000,815,24.67,1284,36,469.87,85.87,253.07,0.87,18.39,112.92,1.04,3.04,25,19.6,125.09,2022-10-05,"2022","10","AA-02"
22,7.4,2.4,0.98,0.9,3.71,3.85,27.507,13.62,0.67,10,235,0.1,1.1,0.0025,0.101,0.0005,0.05,0.05,0.888,0.287,0.0005,0.1,0.0087,20.9,0.02,75000,75000,245,5.59,367,7.8,140.58,21.33,128.41,0.24,0.84,10,0.23,0.1,24,17.71,67.66,2022-10-17,"2022","10","RZ-01"
21,7.6,1.2,0.1,0.01,3.47,4.2,43.092,5.14,0.61,20,516,0.1,1.22,0.0055,0.146,0.0005,0.05,0.05,0.865,0.173,0.0005,0.1,0.0095,84,0.024,1100000,1100000,536,3.47,779,14,284.43,56,173.28,0.79,1.53,66.12,0.19,2.16,23,15.54,106.86,2022-11-14,"2022","11","RS-01"
19,7.3,5.29,0.1,0.01,4.35,2.41,30.668,58.27,1.16,7,402,0.1,0.635,0.0025,0.109,0.0005,0.05,0.05,0.181,0.224,0.0005,0.1,0.0055,57.8,0.02,46000,46000,402,4.35,600,2.3,240.37,48.47,150.15,0.45,2.94,10,0.17,1.31,28,25.54,90.74,2022-11-14,"2022","11","RS-02"
21,7.6,3.04,0.1,0.073,4.23,4.62,35.939,5.86,1.59,25,482,0.1,3.42,0.0033,0.2,0.0005,0.05,0.05,2.192,0.2,0.0005,0.1,0.0102,73.5,0.025,11000,4600,507,4.3,653,40,244.73,54.59,144.56,0.67,2.88,49.03,0.11,49.03,26,16.14,93.53,2022-11-15,"2022","11","RS-03"
20,7.5,2.37,0.1,0.014,30.28,46.5,128.762,5.14,3.43,12,817,0.1,0.905,0.0025,0.131,0.00106,0.05,0.05,0.162,0.198,0.0005,0.1,0.0195,142.2,0.033,11000000,4600000,829,30.29,1265,15,523.95,96.21,239.28,0.82,26.4,25.26,1.86,25.26,24,30.69,125.77,2022-11-15,"2022","11","RS-04"
20,7.9,4.92,0.63,0.507,22.4,34.8,86.798,5.23,2.43,25,658,0.1,1.09,0.0055,0.093,0.00082,0.05,0.05,0.454,0.125,0.0005,0.1,0.0148,109.9,0.039,4600000,4600000,683,23.54,1068,14,340.32,79.55,171.48,1.2,18.05,109.42,0.57,0.1,28,13.96,107.46,2022-11-16,"2022","11","RS-07"
24,7.8,3.28,0.1,0.398,28.58,16.83,83.822,5.14,2.24,19,718,0.1,0.935,0.0042,0.087,0.00125,0.05,0.05,0.508,0.197,0.0005,0.1,0.0156,133.3,0.033,460000,460000,737,28.98,1260,9,371.75,116.85,168.69,0.9,24.17,113.59,0.71,0.55,31,20.89,110.64,2022-11-16,"2022","11","RS-08"
